,Round_64,Round_32,Round_16,Round_8,Round_4,Round_2,Runner_up,Champion
Jan Lennard Struff,0.3688,0.1666,0.0538,0.006,0.0006,0.0,0.0,0.0
Botic Van De Zandschulp,0.6118,0.47,0.1426,0.0864,0.0312,0.0096,0.0018,0.0018
Dusan Lajovic,0.3176,0.0886,0.0082,0.0014,0.0002,0.0,0.0,0.0
Alexander Bublik,0.5784,0.1066,0.0612,0.0324,0.01,0.003,0.0008,0.0008
Elias Ymer,0.0568,0.0228,0.0082,0.0018,0.0002,0.0,0.0,0.0
Alexandre Muller,0.0798,0.043,0.0158,0.0038,0.0012,0.0,0.0,0.0
Marc Andrea Huesler,0.5782,0.108,0.0532,0.0116,0.0044,0.001,0.0,0.0
Gregoire Barrere,0.2856,0.0882,0.01,0.0012,0.0,0.0,0.0,0.0
Timofey Skatov,0.308,0.1176,0.0192,0.0024,0.001,0.0,0.0,0.0
Lloyd Harris,0.0532,0.0178,0.0052,0.0014,0.0,0.0,0.0,0.0
Hugo Gaston,0.2892,0.0354,0.0122,0.0014,0.0002,0.0,0.0,0.0
Alexei Popyrin,0.4604,0.0882,0.0076,0.0024,0.0008,0.0002,0.0,0.0
Filip Krajinovic,0.324,0.2484,0.0392,0.0104,0.003,0.0012,0.0002,0.0002
Federico Coria,0.2154,0.0766,0.0196,0.0064,0.0006,0.0006,0.0,0.0
Dominic Thiem,0.6102,0.3126,0.1588,0.0808,0.0224,0.0072,0.0012,0.0012
Jack Draper,0.7474,0.3016,0.1658,0.0746,0.0178,0.0066,0.0008,0.0008
Ilya Ivashka,0.3046,0.1636,0.075,0.0296,0.0064,0.0006,0.0,0.0
J J Wolf,0.4776,0.3274,0.1302,0.0574,0.012,0.0032,0.0004,0.0004
Jordan Thompson,0.4164,0.1078,0.029,0.0064,0.0008,0.0002,0.0,0.0
Quentin Halys,0.353,0.0418,0.0116,0.0016,0.0004,0.0,0.0,0.0
Daniil Medvedev,0.7774,0.6738,0.5342,0.3546,0.1514,0.0788,0.0256,0.0256
