,Round_64,Round_32,Round_16,Round_8,Round_4,Round_2,Runner_up,Champion
Dusan Lajovic,0.1512,0.0716,0.0178,0.0032,0.0002,0.0002,0.0,0.0
Cristian Garin,0.3242,0.1654,0.044,0.0168,0.0038,0.001,0.0,0.0
Arthur Rinderknech,0.6356,0.2574,0.069,0.024,0.0066,0.0018,0.0,0.0
Marc Andrea Huesler,0.6654,0.1202,0.0456,0.0144,0.0034,0.0004,0.0,0.0
Marcos Giron,0.1316,0.074,0.031,0.0098,0.0022,0.0,0.0,0.0
Quentin Halys,0.0524,0.0206,0.0024,0.0,0.0,0.0,0.0,0.0
Yannick Hanfmann,0.4648,0.0644,0.0196,0.004,0.001,0.0004,0.0,0.0
Pavel Kotov,0.4928,0.1292,0.027,0.0062,0.0014,0.0,0.0,0.0
Ilya Ivashka,0.505,0.3668,0.126,0.0528,0.0176,0.0052,0.0014,0.0014
Lorenzo Musetti,0.6756,0.4774,0.1838,0.0728,0.029,0.0086,0.0024,0.0024
Federico Coria,0.439,0.1466,0.032,0.0068,0.0012,0.0,0.0,0.0
Gregoire Barrere,0.5658,0.0862,0.026,0.0034,0.0004,0.0,0.0,0.0
Kyle Edmund,0.15,0.0918,0.0388,0.0086,0.0032,0.0008,0.0,0.0
Luca Van Assche,0.219,0.1084,0.0352,0.0104,0.0018,0.0004,0.0,0.0
Thiago Monteiro,0.4146,0.1036,0.031,0.0064,0.001,0.0,0.0,0.0
Soon Woo Kwon,0.6456,0.2612,0.1096,0.0336,0.0094,0.0016,0.0,0.0
Borna Coric,0.7494,0.5342,0.3106,0.1334,0.0546,0.0182,0.0042,0.0042
Guido Pella,0.3196,0.084,0.0142,0.0042,0.0008,0.0,0.0,0.0
Yibing Wu,0.3554,0.1956,0.0478,0.0178,0.0042,0.0008,0.0002,0.0002
Stan Wawrinka,0.4476,0.0768,0.0328,0.0114,0.0032,0.001,0.0,0.0
Vasek Pospisil,0.1164,0.0558,0.0216,0.0064,0.001,0.0,0.0,0.0
Dominic Thiem,0.3078,0.1936,0.116,0.0492,0.0094,0.0036,0.001,0.001
Max Purcell,0.3096,0.0512,0.021,0.0058,0.0,0.0,0.0,0.0
Daniel Elahi Galan,0.542,0.2752,0.0832,0.0272,0.0032,0.0008,0.0002,0.0002
Facundo Bagnis,0.2006,0.0508,0.009,0.0024,0.0002,0.0,0.0,0.0
Roman Safiullin,0.7282,0.3734,0.1084,0.0368,0.005,0.0008,0.0002,0.0002
Richard Gasquet,0.6754,0.4072,0.119,0.0452,0.0064,0.002,0.0008,0.0008
Albert Ramos,0.3554,0.045,0.0202,0.0044,0.0,0.0,0.0,0.0
Filip Krajinovic,0.1886,0.1168,0.0632,0.0238,0.0042,0.0012,0.0004,0.0004
Pedro Cachin,0.2712,0.1368,0.0362,0.0028,0.0002,0.0,0.0,0.0
Mattia Bellucci,0.4884,0.1672,0.0504,0.0026,0.0006,0.0,0.0,0.0
John Isner,0.583,0.1894,0.0878,0.0102,0.0036,0.0008,0.0004,0.0004
Yu Hsiou Hsu,0.194,0.0796,0.0312,0.004,0.001,0.0004,0.0,0.0
Aslan Karatsev,0.2792,0.129,0.0088,0.0024,0.0002,0.0,0.0,0.0
Zizou Bergs,0.42,0.1438,0.0092,0.0018,0.0004,0.0,0.0,0.0
Hugo Dellien,0.4268,0.0136,0.004,0.0008,0.0004,0.0,0.0,0.0
Roberto Carballes Baena,0.0348,0.0184,0.0088,0.0018,0.0002,0.0002,0.0,0.0
Nikoloz Basilashvili,0.1168,0.0594,0.016,0.0022,0.0004,0.0,0.0,0.0
Chun Hsin Tseng,0.4702,0.0642,0.0162,0.002,0.0004,0.0,0.0,0.0
Zhizhen Zhang,0.4674,0.143,0.0336,0.0056,0.0024,0.0002,0.0,0.0
Miomir Kecmanovic,0.8202,0.6134,0.276,0.1012,0.0468,0.0082,0.0024,0.0024
Oleksii Krutykh,0.4294,0.1792,0.0302,0.007,0.0022,0.0002,0.0,0.0
Jordan Thompson,0.3302,0.1446,0.0244,0.0068,0.0022,0.0004,0.0,0.0
Laurent Lokoli,0.577,0.0644,0.0224,0.0054,0.0006,0.0004,0.0,0.0
Juan Pablo Varillas,0.095,0.0552,0.0226,0.0062,0.002,0.0004,0.0,0.0
Matteo Berrettini,0.7556,0.6306,0.4952,0.2856,0.1322,0.0418,0.0178,0.0178
Fabio Fognini,0.4536,0.086,0.0354,0.008,0.0018,0.0002,0.0,0.0
Aleksandar Vukic,0.4982,0.2174,0.0582,0.0158,0.002,0.0,0.0,0.0
Joao Sousa,0.2228,0.0744,0.0136,0.0034,0.0002,0.0,0.0,0.0
Alexander Bublik,0.5836,0.2688,0.1096,0.0524,0.0178,0.0036,0.0006,0.0006
Jan Lennard Struff,0.1818,0.0544,0.0118,0.002,0.0002,0.0002,0.0,0.0
Christopher Oconnell,0.2822,0.0548,0.012,0.0016,0.0004,0.0,0.0,0.0
Tomas Machac,0.1684,0.0672,0.02,0.0066,0.0008,0.0,0.0,0.0
