Player,Betting Odds,winning_probability,normalized_winning_probability
Ben Shelton,35000,0.2849002849002849,0.001844155817737537
Gregoire Barrere,35000,0.2849002849002849,0.001844155817737537
Marco Cecchinato,35000,0.2849002849002849,0.001844155817737537
Richard Gasquet,35000,0.2849002849002849,0.001844155817737537
Sebastian Baez,35000,0.2849002849002849,0.001844155817737537
Arthur Fils,40000,0.24937655860349126,0.0016142112020595398
Christopher O'Connell,40000,0.24937655860349126,0.0016142112020595398
Daniel Elahi Galan,40000,0.24937655860349126,0.0016142112020595398
Daniel Evans,40000,0.24937655860349126,0.0016142112020595398
David Goffin,40000,0.24937655860349126,0.0016142112020595398
Filip Krajinovic,40000,0.24937655860349126,0.0016142112020595398
Jaume Munar,40000,0.24937655860349126,0.0016142112020595398
JJ Wolf,40000,0.24937655860349126,0.0016142112020595398
Mikael Ymer,40000,0.24937655860349126,0.0016142112020595398
Thiago Monteiro,40000,0.24937655860349126,0.0016142112020595398
Yibing Wu,40000,0.24937655860349126,0.0016142112020595398
Adrian Mannarino,50000,0.19960079840319359,0.0012920133573370767
Albert Ramos-Vinolas,50000,0.19960079840319359,0.0012920133573370767
Aleksandar Kovacevic,50000,0.19960079840319359,0.0012920133573370767
Alexander Bublik,50000,0.19960079840319359,0.0012920133573370767
Alexandre Muller,50000,0.19960079840319359,0.0012920133573370767
Arthur Cazaux,50000,0.19960079840319359,0.0012920133573370767
Benoit Paire,50000,0.19960079840319359,0.0012920133573370767
Christopher Eubanks,50000,0.19960079840319359,0.0012920133573370767
Constant Lestienne,50000,0.19960079840319359,0.0012920133573370767
Dominic Stephan Stricker,50000,0.19960079840319359,0.0012920133573370767
Elias Ymer,50000,0.19960079840319359,0.0012920133573370767
Emilio Nava,50000,0.19960079840319359,0.0012920133573370767
Facundo Diaz Acosta,50000,0.19960079840319359,0.0012920133573370767
Federico Coria,50000,0.19960079840319359,0.0012920133573370767
Flavio Cobolli,50000,0.19960079840319359,0.0012920133573370767
Giovanni Mpetshi Perricard,50000,0.19960079840319359,0.0012920133573370767
Hamad Medjedovic,50000,0.19960079840319359,0.0012920133573370767
Hugo Dellien,50000,0.19960079840319359,0.0012920133573370767
Hugo Gaston,50000,0.19960079840319359,0.0012920133573370767
Hugo Grenier,50000,0.19960079840319359,0.0012920133573370767
Ilya Ivashka,50000,0.19960079840319359,0.0012920133573370767
Jiri Vesely,50000,0.19960079840319359,0.0012920133573370767
Jordan Thompson,50000,0.19960079840319359,0.0012920133573370767
Juncheng Shang,50000,0.19960079840319359,0.0012920133573370767
Jurij Rodionov,50000,0.19960079840319359,0.0012920133573370767
Lloyd Harris,50000,0.19960079840319359,0.0012920133573370767
Mackenzie McDonald,50000,0.19960079840319359,0.0012920133573370767
Marc-Andrea Huesler,50000,0.19960079840319359,0.0012920133573370767
Maxime Cressy,50000,0.19960079840319359,0.0012920133573370767
Michael Mmoh,50000,0.19960079840319359,0.0012920133573370767
Oscar Otte,50000,0.19960079840319359,0.0012920133573370767
Patrick Kypson,50000,0.19960079840319359,0.0012920133573370767
Pedro Martinez,50000,0.19960079840319359,0.0012920133573370767
Timofey Skatov,50000,0.19960079840319359,0.0012920133573370767
